圖資名稱,製作說明,圖資類型,圖資坐標系統,上架年度,連結網址
不分幅_全台20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/b970ffb3-1962-49ca-9b89-da604f132835/不分幅_全台20MDEM(2024).zip
分幅_南投縣20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/1f388953-2e82-49e9-9fa0-5c4b13ffb6c4/分幅_南投縣20MDEM(2024).zip
分幅_嘉義市20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/24edc290-f2e2-4310-9f18-2c4e1aa021e4/分幅_嘉義市20MDEM(2024).zip
分幅_嘉義縣20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/537dbfeb-7c2f-4d2f-875c-43a047e02771/分幅_嘉義縣20MDEM(2024).zip
分幅_基隆市20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/bac0c0d8-9e27-4e0f-bced-ab854b0e3b81/分幅_基隆市20MDEM(2024).zip
分幅_宜蘭縣20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/fbdb4dd7-20c9-4eac-9eeb-e2795f426048/分幅_宜蘭縣20MDEM(2024).zip
分幅_屏東縣20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/875122f8-fd57-4c72-8fcd-e6a7fcfce749/分幅_屏東縣20MDEM(2024).zip
分幅_彰化縣20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/c8a7391d-2d3a-4a21-a0da-8318cbac7811/分幅_彰化縣20MDEM(2024).zip
分幅_新北市20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/29d902d0-decd-429c-a274-c38369890267/分幅_新北市20MDEM(2024).zip
分幅_新竹市20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/be135f64-071a-4420-bb45-c55fc7e558fd/分幅_新竹市20MDEM(2024).zip
分幅_新竹縣20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/0c5f7994-a0d1-4e93-bdfd-6a994157251b/分幅_新竹縣20MDEM(2024).zip
分幅_桃園市20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/139ed6c8-653d-446b-b681-2be57c492154/分幅_桃園市20MDEM(2024).zip
分幅_臺中市20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/1dabf730-04ad-41b9-a745-538a703446f1/分幅_臺中市20MDEM(2024).zip
分幅_臺北市20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/3dfb605f-1816-4107-abd0-fc49c8b14082/分幅_臺北市20MDEM(2024).zip
分幅_臺南市20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/c42e7d99-4bc1-4b7b-b127-5e3fc4b1a79c/分幅_臺南市20MDEM(2024).zip
分幅_臺東縣20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/b46bca5d-5f9d-493c-9f30-010c7a4992e9/分幅_臺東縣20MDEM(2024).zip
分幅_花蓮縣20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/d4387037-9c38-4dec-a908-297274ffce95/分幅_花蓮縣20MDEM(2024).zip
分幅_苗栗縣20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/fa78764a-8981-4602-a869-cba0ac75db2a/分幅_苗栗縣20MDEM(2024).zip
分幅_雲林縣20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/f72cbd80-ee21-4d65-9338-a9882a26b535/分幅_雲林縣20MDEM(2024).zip
分幅_高雄市20MDEM(2024),航空攝影測量,數值高程模型資料,TWD97(N、E、H),2024年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/2269be31-f6db-451f-a0fa-b2909189abf9/分幅_高雄市20MDEM(2024).zip
